token	entity	coreference_cluster	1 – препарат, 2 – кандидат в анафоры
На			
рынок			
снова			
вернулся			
алимемазин	1	алимемазин	
раньше			
терален	1	алимемазин	
назывался			
Хотелось			
бы			
узнать			
Ваше			
мнение			
Кто			
принимал	1	алимемазин	
в			
своей			
практике			
что			
хорошего			
что			
плохого			
"

"			
"
"			
Сообщение			
отредактировано			
Добавлена			
ссылка			
на			
ролик			
в			
You			
Tube			
Сообщение			
отредактировал			
Гилев			
12			
Апрель			
2020			
07:55			
"
"			
Добавлена			
ссылка			
на			
ролик			
в			
You			
Tube			
"
"			
Орто			
сказал(а			
27.11.2008			
19:59			
"
"			
На			
рынок			
снова			
вернулся			
алимемазин	1	алимемазин	
раньше			
терален	1	алимемазин	
назывался			
Хотелось			
бы			
узнать			
Ваше			
мнение			
Кто			
принимал	1	алимемазин	
в			
своей			
практике			
что			
хорошего			
что			
плохого			
"

"			
Это			
тот			
редкий			
случай			
когда			
антипсихотик	1	алимемазин	
оставил			
самые			
приятные			
впечатления			
к			
сожалению			
про			
моно			
терапию			
рассказать			
не			
могу			
т.к			
принимал			
его	1	алимемазин	
совместно			
с			
антидепрессантами	1		
"
"			
Орто			
а			
где			
его	1	алимемазин	
можно			
приобрести			
не			
подскажете			
"
"			
В			
Волгограде			
есть	1	алимемазин	
почти			
во			
всех			
аптеках			
стоит	1	алимемазин	
80			
руб			
Мы			
его	1	алимемазин	
применяемм			
в			
основном			
как			
вегетостабилизатор			
....			
"
"			
прекрасный			
препарат	1	алимемазин	
особено			
при			
сенесто			
ипохондрических	2	алимемазин	
расстройствах	2	алимемазин	
Наконец			
начинают			
сознавать			
что			
старое-			
не			
значит			
плохое			
"
"			
Easy			
сказал(а			
28.11.2008			
13:19			
"
"			
Это			
тот			
редкий			
случай			
когда			
антипсихотик	1	алимемазин	
оставил			
самые			
приятные			
впечатления			
к			
сожалению			
про			
моно			
терапию			
рассказать			
не			
могу			
т.к			
принимал			
его	1	алимемазин	
совместно			
с			
антидепрессантами	1		
"
"			
Орто			
а			
где			
его	1	алимемазин	
можно			
приобрести			
не			
подскажете			
В			
Москве			
продается	1	алимемазин	
http://aptekamos.ru/...ed.jsp?id=48441			
"
"			
Прекраная			
замена	1	алимемазин	
опротивевшему			
сонапаксу	1	сонапакс 	
...			
"
"			
На			
меня			
он	1	алимемазин	
произвёл			
УЖАСНОЕ			
действие			
Сначала			
стала			
в			
туалет			
редко			
ходить			
вся			
опухла			
потом			
в			
ушах			
звенеть			
начало			
сердце			
стало			
болеть			
А			
на			
третий			
день			
ночь			
стали			
болеть			
все			
органы			
ЖКТ			
Открылась			
язва			
и			
стало			
невозможно			
глотать			
болел			
живот			
Ужасные			
боли			
были			
я			
даже			
несколько			
раз			
теряла			
сознание			
...			
"
"			
А			
доктор			
обещал			
что			
это			
лекарство	1	алимемазин	
востанови			
мне			
сон			
"
"			
Так			
понимаю			
что			
врач			
просто			
глумился			
надо			
мной			
..			
"
"			
Динка			
сказал(а			
29			
Сен			
2009			
5:26			
ПП			
"
"			
На			
меня			
он	1	алимемазин	
произвёл			
УЖАСНОЕ			
действие			
Сначала			
стала			
в			
туалет			
редко			
ходить			
вся			
опухла			
потом			
в			
ушах			
звенеть			
начало			
сердце			
стало			
болеть			
А			
на			
третий			
день			
ночь			
стали			
болеть			
все			
органы			
ЖКТ			
Открылась			
язва			
и			
стало			
невозможно			
глотать			
болел			
живот			
Ужасные			
боли			
были			
я			
даже			
несколько			
раз			
теряла			
сознание			
...			
"
"			
А			
доктор			
обещал			
что			
это			
лекарство	1	алимемазин	
востанови			
мне			
сон			
"
"			
Так			
понимаю			
что			
врач			
просто			
глумился			
надо			
мной			
..			
"

"			
С			
какой			
целью			
позвольте			
поинтересоваться			
глумится			
Или			
делать			
ему			
нечего			
Такие			
побочные			
действия			
вполне			
возможны			
"
"			
Имел			
ли			
кто			
нибудь			
опыт			
совмещения			
велаксина	1	велаксин	
с			
тералидженом	1	тералиджен	
"
"			
Принимал			
порядка			
2			
3			
недель			
от			
10			
до			
20			
мг			
Алимемазина	1	алимемазин	
совместно			
с			
200			
мг			
Азалептина	1	азалептин	
и			
30			
мг			
Ремерона	1	ремерон	
Всё	1	ремерон, азамазин, азалептин	
это	1	ремерон, азамазин, азалептин	
принималось			
за			
полчаса			
до			
сна			
Лично			
я			
не			
почувствовал			
действие			
Тералиджена	1	тералиджен	
словно			
и			
не			
принимал			
его	1	тералиджен	
вовсе			
Мою			
довольно			
средневзвешенную			
ипохондрию			
он	1	тералиджен	
не			
купировал			
равно			
как			
и			
депрессивные			
симптомы			
"
"			
На			
рынок			
снова			
вернулся			
алимемазин	1	алимемазин	
раньше			
терален	1	тералиджен	
назывался			
Хотелось			
бы			
узнать			
Ваше			
мнение			
Кто			
принимал	1	алимемазин	
в			
своей			
практике			
что			
хорошего			
что			
плохого			
"

"			
"
"			
Сообщение			
отредактировано			
Добавлена			
ссылка			
на			
ролик			
в			
You			
Tube			
Сообщение			
отредактировал			
Гилев			
12			
Апрель			
