TOKEN	POST_NUM	ANIMACY	CASE	GENDER	PERSON	POS	DEPENDENCY	HEAD	HEAD_POS	HEAD_ANIMACY	HEAD_CASE	HEAD_GENDER	HEAD_POS	SENT_VECTOR	NER	COREFERENCE_CLUSTER
На	10	-	-	-	-	PREP	case	рынок	NOUN	inan	accs	masc	NOUN	-0.1623266669921577	0	0
рынок	10	inan	accs	masc	-	NOUN	obl	вернулся	VERB	-	-	masc	VERB	-0.1623266669921577	0	0
снова	10	-	-	-	-	ADVB	advmod	вернулся	VERB	-	-	masc	VERB	-0.1623266669921577	0	0
вернулся	10	-	-	masc	-	VERB	ROOT	вернулся	VERB	-	-	masc	VERB	-0.1623266669921577	0	0
алимемазин	10	inan	nomn	masc	-	NOUN	nsubj	вернулся	VERB	-	-	masc	VERB	-0.1623266669921577	мед	алимемазин
раньше	10	-	-	-	-	COMP	advmod	терален	NOUN	anim	nomn	masc	NOUN	-0.1623266669921577	0	0
терален	10	anim	nomn	masc	-	NOUN	nsubj	вернулся	VERB	-	-	masc	VERB	-0.1623266669921577	мед	терален
назывался	10	-	-	masc	-	VERB	conj	вернулся	VERB	-	-	masc	VERB	-0.1623266669921577	0	0
Хотелось	11	-	-	neut	-	VERB	ROOT	Хотелось	VERB	-	-	neut	VERB	-0.5036193639039993	0	0
бы	11	-	-	-	-	PRCL	aux	Хотелось	VERB	-	-	neut	VERB	-0.5036193639039993	0	0
узнать	11	-	-	-	-	INFN	xcomp	Хотелось	VERB	-	-	neut	VERB	-0.5036193639039993	0	0
Ваше	11	-	nomn	neut	-	ADJF	iobj	Хотелось	VERB	-	-	neut	VERB	-0.5036193639039993	0	0
мнение	11	inan	nomn	neut	-	NOUN	obj	Хотелось	VERB	-	-	neut	VERB	-0.5036193639039993	0	0
Кто	10	-	nomn	masc	-	NPRO	nsubj	принимал	VERB	-	-	masc	VERB	-0.672806931490248	0	0
принимал	10	-	-	masc	-	VERB	ROOT	принимал	VERB	-	-	masc	VERB	-0.672806931490248	0	0
в	10	-	-	-	-	PREP	case	практике	NOUN	inan	loct	femn	NOUN	-0.672806931490248	0	0
своей	10	-	gent	femn	-	ADJF	det	практике	NOUN	inan	loct	femn	NOUN	-0.672806931490248	0	0
практике	10	inan	loct	femn	-	NOUN	obl	принимал	VERB	-	-	masc	VERB	-0.672806931490248	0	0
что	10	-	-	-	-	CONJ	obj	принимал	VERB	-	-	masc	VERB	-0.672806931490248	0	0
хорошего	10	-	gent	neut	-	ADJF	amod	что	CONJ	-	-	-	CONJ	-0.672806931490248	0	0
что	10	-	-	-	-	CONJ	fixed	что	CONJ	-	-	-	CONJ	-0.672806931490248	0	0
