TOKEN	TOPIC_NUM	POST_NUM	SENT_NUM	TOKEN_NUM	IS_ANSWER	HEAD	NER	COREFERENCE_CLUSTER	
обсуждаем	1	0	0	0	0	обсуждаем	0	0	
препарат	1	0	0	1	0	обсуждаем	0	0	
рисперидон	1	0	0	2	0	препарат	1	2	
рисполепт	1	0	0	3	0	рисперидон	1	3	
сперидан	1	0	0	4	0	рисполепт	1	4	
не	1	1	0	5	0	знаю	0	0	
знаю	1	1	0	6	0	знаю	0	0	
стоило	1	1	0	7	0	знаю	0	0	
ли	1	1	0	8	0	стоило	0	0	
мне	1	1	0	9	0	стоило	0	0	
писать	1	1	0	10	0	стоило	0	0	
у	1	1	1	11	0	меня	0	0	
меня	1	1	1	12	0	нет	0	0	
практически	1	1	1	13	0	нет	0	0	
нет	1	1	1	14	0	нет	0	0	
никаких	1	1	1	15	0	проблем	0	0	
проблем	1	1	1	16	0	нет	0	0	
и	1	1	1	17	0	лекарством	0	0	
в	1	1	1	18	0	лекарством	0	0	
частности	1	1	1	19	0	в	0	0	
с	1	1	1	20	0	лекарством	0	0	
лекарством	1	1	1	21	0	нет	2	0	
по	1	1	2	22	0	говорит	0	0	
крайней	1	1	2	23	0	по	0	0	
мере	1	1	2	24	0	по	0	0	
врач	1	1	2	25	0	говорит	0	0	
говорит	1	1	2	26	0	говорит	0	0	
что	1	1	2	27	0	идёт	0	0	
всё	1	1	2	28	0	идёт	0	0	
идёт	1	1	2	29	0	говорит	0	0	
как	1	1	2	30	0	надо	0	0	
надо	1	1	2	31	0	идёт	0	0	
у	1	1	3	32	0	меня	0	0	
меня	1	1	3	33	0	бывают	0	0	
с	1	1	3	34	0	детства	0	0	
детства	1	1	3	35	0	бывают	0	0	
бывают	1	1	3	36	0	бывают	0	0	
состояния	1	1	3	37	0	бывают	0	0	
когда	1	1	3	38	0	впадаю	0	0	
я	1	1	3	39	0	впадаю	0	0	
без	1	1	3	40	0	причин	0	0	
видимых	1	1	3	41	0	причин	0	0	
причин	1	1	3	42	0	впадаю	0	0	
впадаю	1	1	3	43	0	бывают	0	0	
в	1	1	3	44	0	панику	0	0	
панику	1	1	3	45	0	впадаю	0	0	
не	1	1	3	46	0	управляю	0	0	
управляю	1	1	3	47	0	впадаю	0	0	
своими	1	1	3	48	0	действиями	0	0	
действиями	1	1	3	49	0	управляю	0	0	
странное	1	1	4	50	0	беспокойство	0	0	
беспокойство	1	1	4	51	0	может	0	0	
может	1	1	4	52	0	может	0	0	
продолжаться	1	1	4	53	0	может	0	0	
от	1	1	4	54	0	мгновений	0	0	
нескольких	1	1	4	55	0	мгновений	0	0	
мгновений	1	1	4	56	0	продолжаться	0	0	
до	1	1	4	57	0	суток	0	0	
нескольких	1	1	4	58	0	суток	0	0	
суток	1	1	4	59	0	продолжаться	0	0	
как	1	1	5	60	0	удавалось	0	0	
то	1	1	5	61	0	удавалось	0	0	
удавалось	1	1	5	62	0	удавалось	0	0	
жить	1	1	5	63	0	удавалось	0	0	
и	1	1	5	64	0	мириться	0	0	
с	1	1	5	65	0	этим	0	0	
этим	1	1	5	66	0	мириться	0	0	
мириться	1	1	5	67	0	жить	0	0	
каждый	1	1	6	68	0	раз	0	0	
раз	1	1	6	69	0	вынуждена	0	0	
придя	1	1	6	70	0	вынуждена	0	0	
в	1	1	6	71	0	себя	0	0	
себя	1	1	6	72	0	придя	0	0	
вынуждена	1	1	6	73	0	вынуждена	0	0	
придумывать	1	1	6	74	0	вынуждена	0	0	
для	1	1	6	75	0	окружающих	0	0	
окружающих	1	1	6	76	0	придумывать	0	0	
более	1	1	6	77	0	правдоподобное	0	0	
или	1	1	6	78	0	менее	0	0	
менее	1	1	6	79	0	более	0	0	
правдоподобное	1	1	6	80	0	оправдание	0	0	
оправдание	1	1	6	81	0	придумывать	0	0	
своим	1	1	6	82	0	поступкам	0	0	
поступкам	1	1	6	83	0	придумывать	0	0	
чувствую	1	1	7	84	0	чувствую	0	0	
себя	1	1	7	85	0	чувствую	0	0	
сторонним	1	1	7	86	0	наблюдателем	0	0	
наблюдателем	1	1	7	87	0	чувствую	0	0	
собственной	1	1	7	88	0	жизни	0	0	
жизни	1	1	7	89	0	наблюдателем	0	0	
в	1	1	8	90	0	момент	0	0	
определённый	1	1	8	91	0	момент	0	0	
момент	1	1	8	92	0	стали	0	0	
страхи	1	1	8	93	0	стали	0	0	
стали	1	1	8	94	0	стали	0	0	
в	1	1	8	95	0	основном	0	0	
основном	1	1	8	96	0	связаны	0	0	
связаны	1	1	8	97	0	стали	0	0	
с	1	1	8	98	0	учёбой	0	0	
учёбой	1	1	8	99	0	связаны	0	0	
а	1	1	8	100	0	общением	0	0	
ещё	1	1	8	101	0	общением	0	0	
с	1	1	8	102	0	общением	0	0	
общением	1	1	8	103	0	учёбой	0	0	
на	1	1	9	104	0	курсе	0	0	
последнем	1	1	9	105	0	курсе	0	0	
курсе	1	1	9	106	0	вылилось	0	0	
училища	1	1	9	107	0	курсе	0	0	
всё	1	1	9	108	0	это	0	0	
это	1	1	9	109	0	вылилось	0	0	
вылилось	1	1	9	110	0	вылилось	0	0	
в	1	1	9	111	0	невозможность	0	0	
невозможность	1	1	9	112	0	вылилось	0	0	
в	1	1	9	113	0	потоке	0	0	
