TOKEN	TOKEN_VECT	POST_NUM	ANIMACY	CASE	GENDER	PERSON	POS	DEPENDENCY	HEAD	HEAD_VECTHEAD_POS	HEAD_ANIMACY	HEAD_CASE	HEAD_GENDER	HEAD_POS	SENT_VECTOR	HEAD_CHILDS_VECT	NER	COREFERENCE_CLUSTER	HEAD_VECT	
На	-0.046334847807884216	10	-	-	-	-	PREP	case	рынок		inan	accs	masc	NOUN	0.09449510229751468	-0.046334847807884216	0	0	0.1500484198331833	
рынок	0.1500484198331833	10	inan	accs	masc	-	NOUN	obl	вернулся		-	-	masc	VERB	0.09449510229751468	0.056298195570707324	0	0	0.28415924310684204	
снова	-0.07103582471609116	10	-	-	-	-	ADVB	advmod	вернулся		-	-	masc	VERB	0.09449510229751468	0.056298195570707324	0	0	0.28415924310684204	
вернулся	0.28415924310684204	10	-	-	masc	-	VERB	ROOT	вернулся		-	-	masc	VERB	0.09449510229751468	0.056298195570707324	0	0	0.28415924310684204	
алимемазин	-0.02310369536280632	10	inan	nomn	masc	-	NOUN	nsubj	вернулся		-	-	masc	VERB	0.09449510229751468	0.056298195570707324	мед	алимемазин	0.28415924310684204	
раньше	0.23664544522762299	10	-	-	-	-	COMP	advmod	терален		anim	nomn	masc	NOUN	0.09449510229751468	0.23664544522762299	0	0	-0.09122936427593231	
терален	-0.09122936427593231	10	anim	nomn	masc	-	NOUN	nsubj	вернулся		-	-	masc	VERB	0.09449510229751468	0.056298195570707324	мед	терален	0.28415924310684204	
назывался	0.3168114423751831	10	-	-	masc	-	VERB	conj	вернулся		-	-	masc	VERB	0.09449510229751468	0.056298195570707324	0	0	0.28415924310684204	
Хотелось	-0.16579824686050415	11	-	-	neut	-	VERB	ROOT	Хотелось		-	-	neut	VERB	0.03845238387584686	0.08951504155993462	0	0	-0.035146988928318024	
бы	0.020269468426704407	11	-	-	-	-	PRCL	aux	Хотелось		-	-	neut	VERB	0.03845238387584686	0.08951504155993462	0	0	-0.035146988928318024	
узнать	-0.2732119560241699	11	-	-	-	-	INFN	xcomp	Хотелось		-	-	neut	VERB	0.03845238387584686	0.08951504155993462	0	0	-0.035146988928318024	
Ваше	0.2705737352371216	11	-	nomn	neut	-	ADJF	iobj	Хотелось		-	-	neut	VERB	0.03845238387584686	0.08951504155993462	0	0	-0.035146988928318024	
мнение	0.3404289186000824	11	inan	nomn	neut	-	NOUN	obj	Хотелось		-	-	neut	VERB	0.03845238387584686	0.08951504155993462	0	0	-0.035146988928318024	
Кто	0.24417948722839355	10	-	nomn	masc	-	NPRO	nsubj	принимал		-	-	masc	VERB	0.2062991869593547	0.012936248967889696	0	0	0.2006116509437561	
принимал	0.2006116509437561	10	-	-	masc	-	VERB	ROOT	принимал		-	-	masc	VERB	0.2062991869593547	0.012936248967889696	0	0	0.2006116509437561	
в	0.28417888283729553	10	-	-	-	-	PREP	case	практике		inan	loct	femn	NOUN	0.2062991869593547	0.4995417445898056	0	0	-0.0010145173873752356	
своей	0.7149046063423157	10	-	gent	femn	-	ADJF	det	практике		inan	loct	femn	NOUN	0.2062991869593547	0.4995417445898056	0	0	-0.0010145173873752356	
практике	-0.0010145173873752356	10	inan	loct	femn	-	NOUN	obl	принимал		-	-	masc	VERB	0.2062991869593547	0.012936248967889696	0	0	0.2006116509437561	
что	-0.33889976143836975	10	-	-	-	-	CONJ	obj	принимал		-	-	masc	VERB	0.2062991869593547	0.012936248967889696	0	0	0.2006116509437561	
хорошего	1.0196352005004883	10	-	gent	neut	-	ADJF	amod	что		-	-	-	CONJ	0.2062991869593547	0.1830639193455378	0	0	-0.33889976143836975	
что	-0.33889976143836975	10	-	-	-	-	CONJ	fixed	что		-	-	-	CONJ	0.2062991869593547	0.1830639193455378	0	0	-0.33889976143836975	
плохого	0.4686591625213623	10	-	gent	neut	-	ADJF	amod	что		-	-	-	CONJ	0.2062991869593547	0.4686591625213623	0	0	-0.33889976143836975	
"	"		10	-	-	-	-	-	punct	что		-	-	-	CONJ	0.2062991869593547	0	0	0	-0.33889976143836975
Сообщение	-0.13154368102550507	10	inan	nomn	neut	-	NOUN	case	что		-	-	-	CONJ	0.2062991869593547	0.1830639193455378	0	0	-0.33889976143836975	
отредактировано	0.14747978746891022	10	-	-	neut	-	PRTS	punct	принимал		-	-	masc	VERB	0.2062991869593547	0.012936248967889696	0	0	0.2006116509437561	
Добавлена	-0.2935384213924408	10	-	-	femn	-	PRTS	ROOT	Добавлена		-	-	femn	PRTS	-0.12166771079812731	-0.20806758850812912	0	0	-0.06714262813329697	
ссылка	-0.17069821059703827	10	inan	nomn	femn	-	NOUN	nsubj:pass	Добавлена		-	-	femn	PRTS	-0.12166771079812731	-0.20806758850812912	0	0	-0.06714262813329697	
на	-0.046334847807884216	10	-	-	-	-	PREP	case	ролик		inan	nomn	masc	NOUN	-0.12166771079812731	-0.046334847807884216	0	0	0.15959157049655914	
ролик	0.15959157049655914	10	inan	nomn	masc	-	NOUN	nmod	ссылка		inan	nomn	femn	NOUN	-0.12166771079812731	-0.18992220610380173	0	0	-0.17069821059703827	
в	0.28417888283729553	10	-	-	-	-	PREP	case	You		-	-	-	-	-0.12166771079812731	0.28417888283729553	0	0	-0.33744221925735474	
You	-0.5394359827041626	10	-	-	-	-	-	nmod	ссылка		inan	nomn	femn	NOUN	-0.12166771079812731	-0.18992220610380173	0	0	-0.17069821059703827	
Tube	-0.24543696641921997	10	-	-	-	-	-	punct	Добавлена		-	-	femn	PRTS	-0.12166771079812731	-0.20806758850812912	0	0	-0.06714262813329697	
Сообщение	-0.13154368102550507	10	inan	nomn	neut	-	NOUN	obj	отредактировал		-	-	masc	VERB	-0.24280418157577516	-0.2861490845680237	0	0	-0.1533840000629425	
отредактировал	-0.1533840000629425	10	-	-	masc	-	VERB	ROOT	отредактировал		-	-	masc	VERB	-0.24280418157577516	-0.2861490845680237	0	0	-0.1533840000629425	
Гилев	-0.5488160252571106	10	anim	nomn	masc	-	NOUN	nsubj	отредактировал		-	-	masc	VERB	-0.24280418157577516	-0.2861490845680237	0	0	-0.1533840000629425	
12	-0.3449605703353882	10	-	-	-	-	-	nummod	Добавлена		-	-	femn	PRTS	-0.24280418157577516	-0.3449605703353882	0	0	-0.06714262813329697	
Апрель	-0.39022713899612427	10	inan	nomn	masc	-	NOUN	flat	12		-	-	-	-	-0.24280418157577516	-0.4029211178421974	0	0	-0.3449605703353882	
2020	-0.37707754969596863	10	-	-	-	-	-	flat	12		-	-	-	-	-0.24280418157577516	-0.4029211178421974	0	0	-0.3449605703353882	
7	-0.4118172824382782	10	-	-	-	-	-	flat	12		-	-	-	-	-0.24280418157577516	-0.4029211178421974	0	0	-0.3449605703353882	
55	-0.4325625002384186	10	-	-	-	-	-	flat	12		-	-	-	-	-0.24280418157577516	-0.4029211178421974	0	0	-0.3449605703353882	
Добавлена	-0.2935384213924408	10	-	-	femn	-	PRTS	obl	отредактировал		-	-	masc	VERB	-0.24280418157577516	-0.2861490845680237	0	0	-0.1533840000629425	
ссылка	-0.17069821059703827	10	inan	nomn	femn	-	NOUN	nsubj	отредактировал		-	-	masc	VERB	-0.24280418157577516	-0.2861490845680237	0	0	-0.1533840000629425	
на	-0.046334847807884216	10	-	-	-	-	PREP	case	ролик		inan	nomn	masc	NOUN	-0.24280418157577516	-0.046334847807884216	0	0	0.15959157049655914	
ролик	0.15959157049655914	10	inan	nomn	masc	-	NOUN	nmod	ссылка		inan	nomn	femn	NOUN	-0.24280418157577516	-0.18992220610380173	0	0	-0.17069821059703827	
в	0.28417888283729553	10	-	-	-	-	PREP	case	You		-	-	-	-	-0.24280418157577516	0.01937095820903778	0	0	-0.33744221925735474	
You	-0.5394359827041626	10	-	-	-	-	-	nmod	ссылка		inan	nomn	femn	NOUN	-0.24280418157577516	-0.18992220610380173	0	0	-0.17069821059703827	
Tube	-0.24543696641921997	10	-	-	-	-	-	flat:foreign	You		-	-	-	-	-0.24280418157577516	0.01937095820903778	0	0	-0.33744221925735474	
Орто	0.06226757541298866	11	-	-	neut	-	ADJS	nsubj	сказал		-	-	masc	VERB	-0.13622525613754988	0.14300222415477037	0	0	-0.37594228982925415	
сказал	-0.37594228982925415	11	-	-	masc	-	VERB	ROOT	сказал		-	-	masc	VERB	-0.13622525613754988	0.14300222415477037	0	0	-0.37594228982925415	
а	-0.466221421957016	11	-	-	-	-	CONJ	cc	вернулся		-	-	masc	VERB	-0.13622525613754988	-0.20420082584023475	0	0	0.28415924310684204	
27	-0.2789701521396637	11	-	-	-	-	-	nummod	11		-	-	-	-	-0.13622525613754988	-0.38785208761692047	0	0	-0.12988652288913727	
11	-0.12988652288913727	11	-	-	-	-	-	nummod	19		-	-	-	-	-0.13622525613754988	-0.12988652288913727	0	0	-0.6393864750862122	
2008	-0.49673402309417725	11	-	-	-	-	-	flat	11		-	-	-	-	-0.13622525613754988	-0.38785208761692047	0	0	-0.12988652288913727	
19	-0.6393864750862122	11	-	-	-	-	-	nummod	59		-	-	-	-	-0.13622525613754988	-0.6393864750862122	0	0	-0.6106916069984436	
59	-0.6106916069984436	11	-	-	-	-	-	nummod	вернулся		-	-	masc	VERB	-0.13622525613754988	-0.20420082584023475	0	0	0.28415924310684204	
На	-0.046334847807884216	11	-	-	-	-	PREP	case	рынок		inan	accs	masc	NOUN	-0.13622525613754988	-0.046334847807884216	0	0	0.1500484198331833	
рынок	0.1500484198331833	11	inan	accs	masc	-	NOUN	obl	вернулся		-	-	masc	VERB	-0.13622525613754988	-0.20420082584023475	0	0	0.28415924310684204	
снова	-0.07103582471609116	11	-	-	-	-	ADVB	advmod	вернулся		-	-	masc	VERB	-0.13622525613754988	-0.20420082584023475	0	0	0.28415924310684204	
вернулся	0.28415924310684204	11	-	-	masc	-	VERB	conj	сказал		-	-	masc	VERB	-0.13622525613754988	0.14300222415477037	0	0	-0.37594228982925415	
алимемазин	-0.02310369536280632	11	inan	nomn	masc	-	NOUN	nsubj	вернулся		-	-	masc	VERB	-0.13622525613754988	-0.20420082584023475	мед	алимемазин	0.28415924310684204	
раньше	0.23664544522762299	11	-	-	-	-	COMP	advmod	терален		anim	nomn	masc	NOUN	-0.13622525613754988	0.23664544522762299	0		-0.09122936427593231	
терален	-0.09122936427593231	11	anim	nomn	masc	-	NOUN	conj	сказал		-	-	masc	VERB	-0.13622525613754988	0.14300222415477037	мед	терален	-0.37594228982925415	
назывался	0.3168114423751831	11	-	-	masc	-	VERB	conj	сказал		-	-	masc	VERB	-0.13622525613754988	0.14300222415477037	0	0	-0.37594228982925415	
Кто	0.24417948722839355	11	-	nomn	masc	-	NPRO	nsubj	принимал		-	-	masc	VERB	0.0816718487213144	0.14443550404394045	0	0	0.2006116509437561	
принимал	0.2006116509437561	11	-	-	masc	-	VERB	ROOT	принимал		-	-	masc	VERB	0.0816718487213144	0.14443550404394045	0	0	0.2006116509437561	
в	0.28417888283729553	11	-	-	-	-	PREP	case	практике		inan	loct	femn	NOUN	0.0816718487213144	0.4995417445898056	0	0	-0.0010145173873752356	
своей	0.7149046063423157	11	-	gent	femn	-	ADJF	det	практике		inan	loct	femn	NOUN	0.0816718487213144	0.4995417445898056	0	0	-0.0010145173873752356	
практике	-0.0010145173873752356	11	inan	loct	femn	-	NOUN	obl	принимал		-	-	masc	VERB	0.0816718487213144	0.14443550404394045	0	0	0.2006116509437561	
что	-0.33889976143836975	11	-	-	-	-	CONJ	mark	случай		inan	nomn	masc	NOUN	0.0816718487213144	0.05939306765794754	0	0	0.4421023428440094	
