TOKEN	TOPIC_NUM	POST_NUM	SENT_NUM	IS_ANSWER	HEAD	NER	COREFERENCE_CLUSTER	
обсуждаем	1	0	0	0	обсуждаем	0	0	
препарат	1	0	0	0	обсуждаем	0	0	
рисперидон	1	0	0	0	препарат	мед	рисперидон	
рисполепт	1	0	0	0	рисперидон	мед	рисполепт	
сперидан	1	0	0	0	рисполепт	мед	сперидан	
не	1	1	0	0	знаю	0	0	
знаю	1	1	0	0	знаю	0	0	
стоило	1	1	0	0	знаю	0	0	
ли	1	1	0	0	стоило	0	0	
мне	1	1	0	0	стоило	0	0	
писать	1	1	0	0	стоило	0	0	
у	1	1	1	0	меня	0	0	
меня	1	1	1	0	нет	0	0	
практически	1	1	1	0	нет	0	0	
нет	1	1	1	0	нет	0	0	
никаких	1	1	1	0	проблем	0	0	
проблем	1	1	1	0	нет	0	0	
и	1	1	1	0	лекарством	0	0	
в	1	1	1	0	лекарством	0	0	
частности	1	1	1	0	в	0	0	
с	1	1	1	0	лекарством	0	0	
лекарством	1	1	1	0	нет	0	0	
по	1	1	2	0	говорит	0	0	
крайней	1	1	2	0	по	0	0	
мере	1	1	2	0	по	0	0	
врач	1	1	2	0	говорит	0	0	
говорит	1	1	2	0	говорит	0	0	
что	1	1	2	0	идёт	0	0	
всё	1	1	2	0	идёт	0	0	
идёт	1	1	2	0	говорит	0	0	
как	1	1	2	0	надо	0	0	
надо	1	1	2	0	идёт	0	0	
у	1	1	3	0	меня	0	0	
меня	1	1	3	0	бывают	0	0	
с	1	1	3	0	детства	0	0	
детства	1	1	3	0	бывают	0	0	
бывают	1	1	3	0	бывают	0	0	
состояния	1	1	3	0	бывают	0	0	
когда	1	1	3	0	впадаю	0	0	
я	1	1	3	0	впадаю	0	0	
без	1	1	3	0	причин	0	0	
видимых	1	1	3	0	причин	0	0	
причин	1	1	3	0	впадаю	0	0	
впадаю	1	1	3	0	бывают	0	0	
в	1	1	3	0	панику	0	0	
панику	1	1	3	0	впадаю	0	0	
не	1	1	3	0	управляю	0	0	
управляю	1	1	3	0	впадаю	0	0	
своими	1	1	3	0	действиями	0	0	
действиями	1	1	3	0	управляю	0	0	
странное	1	1	4	0	беспокойство	0	0	
беспокойство	1	1	4	0	может	0	0	
может	1	1	4	0	может	0	0	
продолжаться	1	1	4	0	может	0	0	
от	1	1	4	0	мгновений	0	0	
нескольких	1	1	4	0	мгновений	0	0	
мгновений	1	1	4	0	продолжаться	0	0	
до	1	1	4	0	суток	0	0	
нескольких	1	1	4	0	суток	0	0	
суток	1	1	4	0	продолжаться	0	0	
как	1	1	5	0	удавалось	0	0	
то	1	1	5	0	удавалось	0	0	
удавалось	1	1	5	0	удавалось	0	0	
жить	1	1	5	0	удавалось	0	0	
и	1	1	5	0	мириться	0	0	
с	1	1	5	0	этим	0	0	
этим	1	1	5	0	мириться	0	0	
мириться	1	1	5	0	жить	0	0	
каждый	1	1	6	0	раз	0	0	
раз	1	1	6	0	вынуждена	0	0	
придя	1	1	6	0	вынуждена	0	0	
в	1	1	6	0	себя	0	0	
себя	1	1	6	0	придя	0	0	
вынуждена	1	1	6	0	вынуждена	0	0	
придумывать	1	1	6	0	вынуждена	0	0	
для	1	1	6	0	окружающих	0	0	
окружающих	1	1	6	0	придумывать	0	0	
более	1	1	6	0	правдоподобное	0	0	
или	1	1	6	0	менее	0	0	
менее	1	1	6	0	более	0	0	
правдоподобное	1	1	6	0	оправдание	0	0	
оправдание	1	1	6	0	придумывать	0	0	
своим	1	1	6	0	поступкам	0	0	
поступкам	1	1	6	0	придумывать	0	0	
чувствую	1	1	7	0	чувствую	0	0	
себя	1	1	7	0	чувствую	0	0	
сторонним	1	1	7	0	наблюдателем	0	0	
наблюдателем	1	1	7	0	чувствую	0	0	
собственной	1	1	7	0	жизни	0	0	
жизни	1	1	7	0	наблюдателем	0	0	
в	1	1	8	0	момент	0	0	
определённый	1	1	8	0	момент	0	0	
момент	1	1	8	0	стали	0	0	
страхи	1	1	8	0	стали	0	0	
стали	1	1	8	0	стали	0	0	
в	1	1	8	0	основном	0	0	
основном	1	1	8	0	связаны	0	0	
связаны	1	1	8	0	стали	0	0	
с	1	1	8	0	учёбой	0	0	
учёбой	1	1	8	0	связаны	0	0	
а	1	1	8	0	общением	0	0	
ещё	1	1	8	0	общением	0	0	
с	1	1	8	0	общением	0	0	
общением	1	1	8	0	учёбой	0	0	
на	1	1	9	0	курсе	0	0	
последнем	1	1	9	0	курсе	0	0	
курсе	1	1	9	0	вылилось	0	0	
училища	1	1	9	0	курсе	0	0	
всё	1	1	9	0	это	0	0	
это	1	1	9	0	вылилось	0	0	
вылилось	1	1	9	0	вылилось	0	0	
в	1	1	9	0	невозможность	0	0	
невозможность	1	1	9	0	вылилось	0	0	
в	1	1	9	0	потоке	0	0	
общем	1	1	9	0	потоке	0	0	
потоке	1	1	9	0	невозможность	0	0	
сдать	1	1	9	0	невозможность	0	0	
экзамены	1	1	9	0	сдать	0	0	
обратились	1	1	10	0	обратились	0	0	
к	1	1	10	0	врачу	0	0	
врачу	1	1	10	0	обратились	0	0	
со	1	1	11	0	родителей	0	0	
стороны	1	1	11	0	со	0	0	
родителей	1	1	11	0	делалось	0	0	
это	1	1	11	0	делалось	0	0	
делалось	1	1	11	0	делалось	0	0	
с	1	1	11	0	неохотой	0	0	
большой	1	1	11	0	неохотой	0	0	
неохотой	1	1	11	0	делалось	0	0	
от	1	1	12	0	чего	0	0	
чего	1	1	12	0	лечат	0	0	
меня	1	1	12	0	лечат	0	0	
лечат	1	1	12	0	лечат	0	0	
не	1	1	12	0	уточнили	0	0	
уточнили	1	1	12	0	лечат	0	0	
после	1	1	13	0	пары	0	0	
пары	1	1	13	0	назначили	0	0	
вводных	1	1	13	0	бесед	0	0	
бесед	1	1	13	0	пары	0	0	
назначили	1	1	13	0	назначили	0	0	
небольшую	1	1	13	0	дозировку	0	0	
дозировку	1	1	13	0	назначили	0	0	
рисполепта	1	1	13	0	дозировку	мед	рисполепт	
сказали	1	1	13	0	рисполепта	0	0	
для	1	1	13	0	начала	0	0	
начала	1	1	13	0	сказали	0	0	
принимаю	1	1	14	0	принимаю	0	0	
несколько	1	1	14	0	дней	0	0	
дней	1	1	14	0	принимаю	0	0	
меня	1	1	15	0	предупреждали	0	0	
конечно	1	1	15	0	предупреждали	0	0	
предупреждали	1	1	15	0	предупреждали	0	0	
что	1	1	15	0	появится	0	0	
появится	1	1	15	0	предупреждали	0	0	
заторможенность	1	1	15	0	появится	0	0	
рассеянность	1	1	15	0	заторможенность	0	0	
возможно	1	1	15	0	придётся	0	0	
придётся	1	1	15	0	появится	0	0	
больше	1	1	15	0	спать	0	0	
спать	1	1	15	0	придётся	0	0	
результат	1	1	16	0	превзошёл	0	0	
превзошёл	1	1	16	0	превзошёл	0	0	
ожидания	1	1	16	0	превзошёл	0	0	
ужасно	1	1	16	0	кружится	0	0	
кружится	1	1	16	0	превзошёл	0	0	
голова	1	1	16	0	кружится	0	0	
руки	1	1	16	0	трясутся	0	0	
трясутся	1	1	16	0	кружится	0	0	
ноги	1	1	16	0	слушаются	0	0	
не	1	1	16	0	слушаются	0	0	
слушаются	1	1	16	0	кружится	0	0	
боюсь	1	1	17	0	боюсь	0	0	
пройти	1	1	17	0	боюсь	0	0	
по	1	1	17	0	квартире	0	0	
квартире	1	1	17	0	пройти	0	0	
брать	1	1	17	0	пройти	0	0	
в	1	1	17	0	руки	0	0	
руки	1	1	17	0	брать	0	0	
вещи	1	1	17	0	брать	0	0	
чтобы	1	1	17	0	сломать	0	0	
ничего	1	1	17	0	сломать	0	0	
не	1	1	17	0	сломать	0	0	
сломать	1	1	17	0	брать	0	0	
