TOKEN	NER	COREFERENCE_CLUSTER
"		
"	0	
мне	0	
назначили	0	
хлорпротиксен	0	
вместо	0	
зипрексы	0	
в	0	
противопоказаниях	0	
прочитала	0	
что	0	
нельзя	0	
принимать	0	
при	0	
тахикардии	0	
а	0	
у	0	
меня	0	
она	0	
постоянная	0	
до	0	
100	0	
ударов	0	
в	0	
минуту	0	
боюсь	0	
принимать	0	
можно	0	
ли	0	
вообще	0	
обойтись	0	
без	0	
нейролептика	0	
принимала	0	
в	0	
стационаре	0	
велаксин	0	
форте	0	
75	0	
мг	0	
зипрексу	0	
1	0	
2	0	
таблетки	0	
карбамазепин	0	
2	0	
раза	0	
в	0	
день	0	
по	0	
0	0	
2	0	
диагноз	0	
f	0	
31	0	
30	0	
в	0	
стационаре	0	
чувствовала	0	
себя	0	
нормально	0	
можно	0	
ли	0	
оставить	0	
только	0	
велаксин	0	
"		
"	0	
обсуждаем	0	
препарат	0	
сульпирид	0	
эглонил	0	
эглек	0	
"		
"	0	
масловы	0	
10	0	
февраль	0	
2021	0	
12	0	
46	0	
писал	0	
опухоль	0	
сильно	0	
обросла	0	
сосудами	0	
что	0	
не	0	
даёт	0	
возможности	0	
подступиться	0	
к	0	
опухоли	0	
изначально	0	
шла	0	
речь	0	
о	0	
возможной	0	
операции	0	
после	0	
химиотерапии	0	
но	0	
к	0	
сожалению	0	
химия	0	
нам	0	
не	0	
подошла	0	
из	0	
за	0	
токсичности	0	
завтра	0	
едем	0	
на	0	
консультацию	0	
по	0	
поводу	0	
hifu	0	
терапии	0	
посмотрим	0	
что	0	
скажут	0	
подскажите	0	
что	0	
вам	0	
сказали	0	
насчёт	0	
hifu	0	
взяли	0	
на	0	
лечение	0	
"		
"	0	
здравствуйте	0	
можно	0	
увидеть	0	
фото	0	
sofocure	0	
и	0	
daclacure	0	
от	0	
хетеро	0	
раньше	0	
там	0	
натко	0	
была	0	
в	0	
производителях	0	
"		
"	0	
роман	0	
z	0	
2	0	
окт	0	
2017	0	
11	0	
24	0	
писал	0	
а	0	
а	0	
ещё	0	
есть	0	
акционные	0	
курсы	0	
надо	0	
соф	0	
дак	0	
12	0	
недель	0	
есть	0	
"		
"	0	
ратик	0	
9	0	
февраль	0	
2019	0	
10	0	
23	0	
писал	0	
у	0	
моего	0	
мужа	0	
была	0	
аденокарцинома	0	
поджелудочной	0	
железы	0	
после	0	
курсов	0	
химии	0	
по	0	
протоколу	0	
фолферинокс	0	
с	0	
оксолиплатином	0	
в	0	
2017	0	
сделали	0	
операцию	0	
тотальная	0	
панкреэктомия	0	
живёт	0	
на	0	
инсулине	0	
и	0	
креоне	0	
здравствуйте	0	
у	0	
моей	0	
мамы	0	
тоже	0	
аденокарцинома	0	
поджелудочной	0	
железы	0	
операция	0	
была	0	
в	0	
мае	0	
2018	0	
года	0	
как	0	
сейчас	0	
ваш	0	
муж	0	
вы	0	
ещё	0	
проходите	0	
химию	0	
"		
"	0	
ну	0	
где	0	
ж	0	
все	0	
можно	0	
самостоятельно	0	
отменить	0	
себе	0	
нормотимик	0	
и	0	
нейролептик	0	
"		
"	0	
snay	0	
сказал	0	
а	0	
24	0	
9	0	
2008	0	
16	0	
59	0	
а	0	
есть	0	
ли	0	
какой	0	
